id;description;pickup;jhi_drop;source;destination;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by
1;Cotton;2019-09-30T18:38:59;2019-10-01T00:23:04;grow;Handmade Wooden Cheese Fresh;input Naira;DELIVERED;37487;2019-09-30T19:00:28;../fake-data/blob/hipster.png;image/png;false;EXE
2;web services;2019-09-30T11:13:20;2019-10-01T06:10:52;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;DELIVERED;99583;2019-09-30T15:24:41;../fake-data/blob/hipster.png;image/png;true;iterate protocol
3;web-enabled Brand Regional;2019-09-30T19:32:14;2019-10-01T03:54:38;B2B Mouse;Junctions one-to-one;analyzing holistic;ONROAD;69816;2019-10-01T05:41:50;../fake-data/blob/hipster.png;image/png;true;groupware
4;Credit Card Account clear-thinking Frozen;2019-10-01T04:38:38;2019-09-30T10:43:55;Group hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;PICKEDUP;74957;2019-09-30T21:19:53;../fake-data/blob/hipster.png;image/png;false;transmitting Tennessee Practical Steel Shirt
5;24/7;2019-10-01T05:07:11;2019-10-01T04:39:51;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;PICKEDUP;60617;2019-10-01T01:29:58;../fake-data/blob/hipster.png;image/png;false;El Salvador Colon US Dollar Checking Account global
6;Baby;2019-09-30T18:31:01;2019-09-30T17:59:08;transmit Gabon;connecting Planner Refined;engage Granite Grocery;PICKEDUP;90315;2019-10-01T03:11:59;../fake-data/blob/hipster.png;image/png;true;Director
7;New York mesh;2019-09-30T19:58:24;2019-10-01T04:17:19;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;PICKEDUP;49261;2019-09-30T22:08:06;../fake-data/blob/hipster.png;image/png;false;payment
8;robust;2019-09-30T17:34:43;2019-10-01T03:22:47;Rubber Shirt;Pakistan Rupee;Chicken;DELIVERED;51523;2019-09-30T14:27:05;../fake-data/blob/hipster.png;image/png;true;Savings Account
9;Licensed Wooden Pants;2019-09-30T23:47:12;2019-09-30T22:07:48;Movies;Granite Island;Regional;PICKEDUP;69039;2019-09-30T22:45:17;../fake-data/blob/hipster.png;image/png;false;online
10;Bulgarian Lev Cambridgeshire;2019-10-01T02:42:19;2019-09-30T08:22:19;Small Plastic Pizza primary;Savings Account Manager Guyana;Bedfordshire Auto Loan Account back-end;PICKEDUP;13311;2019-09-30T13:21:09;../fake-data/blob/hipster.png;image/png;true;connecting generate Music
