id;number;type;size;insurance
1;JSON National;CONTAINER;FIFTYTHREE;Towels
2;Table Automotive;CONTAINER;FIFTYTHREE;payment
3;Strategist;TRAILER;FORTYTHREE;Fantastic Soft Table
4;solid state;TRAILER;FIFTYTHREE;synthesize
5;Macedonia Japan;TRAILER;FORTYTHREE;Mobility
6;didactic Dynamic;TRAILER;FIFTYTHREE;Distributed
7;Avon Checking Account impactful;TRAILER;FORTYTHREE;parsing matrix Belize Dollar
8;empower;TRAILER;FIFTYTHREE;Salad
9;withdrawal circuit;CONTAINER;FORTYTHREE;users Guinea
10;SQL lavender;CONTAINER;FIFTYTHREE;optimal Peru
