id;order_no;invoice_tax_total;invoice_sub_total;invoice_total;invoice_date;invoice_due_date;status
1;intuitive Open-architected system-worthy;32255;74076;84866;2019-11-18;2019-11-19;SENT
2;Synergistic Personal Loan Account Sleek;518;50151;62789;2019-11-18;2019-11-19;DRAFT
3;California interfaces;67202;3594;32815;2019-11-18;2019-11-19;PARTIALLY_PAID
4;Assimilated;3883;82260;30326;2019-11-18;2019-11-18;VOIDED
5;composite Orchestrator Club;84202;5168;19438;2019-11-18;2019-11-18;DRAFT
6;Analyst card Licensed Cotton Ball;43352;43897;74404;2019-11-19;2019-11-19;DRAFT
7;infomediaries Som Rustic Frozen Keyboard;44235;25024;23978;2019-11-18;2019-11-19;PAID
8;payment e-markets system;4771;24773;56603;2019-11-18;2019-11-19;DRAFT
9;solution;97951;70365;17533;2019-11-18;2019-11-19;VOIDED
10;e-business Light;64977;39850;4805;2019-11-18;2019-11-18;DRAFT
