id;description;qty;price;total;status;shipment_number;bol
1;Optimization Cambridgeshire;53937;65869;68396;PARTIALLY_PAID;Solutions COM;Data North Dakota
2;North Carolina Granite;81120;54561;82063;GENERATED;analyzing;Fantastic
3;Ergonomic Rubber Chicken;33655;7118;65572;OVERDRAFT;wireless;hybrid
4;Solomon Islands Dollar;34833;62894;93664;SENT;South Dakota Wyoming interface;incentivize
5;Louisiana JSON Texas;23859;42899;67984;PAID;Buckinghamshire monetize;Direct
6;Small Frozen Salad bypassing;35490;31931;95680;DRAFT;Gorgeous Money Market Account;Danish Krone parse
7;neural Wooden Optimization;97424;5755;99593;OVERDRAFT;Liaison;program Auto Loan Account Refined
8;infomediaries;22257;7276;39665;GENERATED;Maine PCI SAS;Interactions
9;Pennsylvania dynamic bandwidth;48166;77714;37798;SENT;supply-chains;Tools
10;Arizona hack;76719;11752;82279;GENERATED;seize Glen Refined;Mandatory Assistant
