id;start_date;end_date;language
1;2019-11-19T06:53:40;2019-11-19T06:19:52;SPANISH
2;2019-11-18T22:47:32;2019-11-18T07:53:14;ENGLISH
3;2019-11-19T04:49:24;2019-11-18T17:59:39;FRENCH
4;2019-11-19T05:12:46;2019-11-18T18:50:00;SPANISH
5;2019-11-18T22:01:06;2019-11-18T15:10:07;FRENCH
6;2019-11-18T16:25:29;2019-11-19T00:55:40;FRENCH
7;2019-11-18T12:00:58;2019-11-19T04:10:46;FRENCH
8;2019-11-18T16:44:24;2019-11-18T19:31:14;ENGLISH
9;2019-11-18T15:25:47;2019-11-19T03:25:32;ENGLISH
10;2019-11-19T01:47:39;2019-11-19T04:54:17;ENGLISH
